Afghanistan , Pashto, Dari
Albania , Albanian
Algeria , Arabic, Tamazight
American Samoa , English, Samoan
Andorra , Catalan
Angola , Portuguese
Antigua and Barbuda , English
Argentina , Spanish
Armenia , Armenian
Australia , English
Austria , German
Azerbaijan , Azerbaijani
Bahamas , English
Bahrain , Arabic
Bangladesh , Bengali
Barbados , English
Belarus , Belarusian, Russian
Belgium , Dutch, French, German
Belize , English
Benin , French
Bhutan , Dzongkha
Bolivia (Plurinational State of) , Spanish, Quechua, Aymara
Bosnia and Herzegovina , Bosnian, Croatian, Serbian
Botswana , English, Setswana
Brazil , Portuguese
Brunei Darussalam , Malay
Bulgaria , Bulgarian
Burkina Faso , French
Burundi , Kirundi, French
Cabo Verde , Portuguese
Cambodia , Khmer
Cameroon , French, English
Canada , English, French
Central African Republic , French, Sango
Chad , French, Arabic
Chile , Spanish
China , Chinese
China, Hong Kong Special Administrative Region , Chinese, English
China, Macao Special Administrative Region , Chinese, Portuguese
Colombia , Spanish
Comoros , Arabic, Comorian, French
Congo , French
Costa Rica , Spanish
Côte d'Ivoire , French
Croatia , Croatian
Cuba , Spanish
Cyprus , Greek, Turkish
Czech Republic , Czech
Democratic People's Republic of Korea , Korean
Democratic Republic of the Congo , French
Denmark , Danish
Djibouti , Arabic, French
Dominica , English
Dominican Republic , Spanish
Ecuador , Spanish
Egypt , Arabic
El Salvador , Spanish
Equatorial Guinea , Spanish, French, Portuguese
Eritrea , Tigrinya, Arabic, English
Estonia , Estonian
Ethiopia , Amharic
Fiji , English, Fijian, Hindustani
Finland , Finnish, Swedish
France , French
Gabon , French
Gambia , English
Georgia , Georgian
Germany , German
Ghana , English
Greece , Greek
Grenada , English
Guatemala , Spanish
Guinea , French
Guinea,Bissau , Portuguese
Guyana , English
Haiti , Haitian Creole, French
Honduras , Spanish
Hungary , Hungarian
Iceland , Icelandic
India , Hindi, English
Indonesia , Indonesian
Iran (Islamic Republic of) , Persian
Iraq , Arabic, Kurdish
Ireland , Irish, English
Israel , Hebrew, Arabic
Italy , Italian
Jamaica , English
Japan , Japanese
Jordan , Arabic
Kazakhstan , Kazakh, Russian
Kenya , Swahili, English
Kiribati , English, Kiribati
Kuwait , Arabic
Kyrgyzstan , Kyrgyz, Russian
Lao People's Democratic Republic , Lao
Latvia , Latvian
Lebanon , Arabic
Lesotho , Sesotho, English
Liberia , English
Libya , Arabic
Liechtenstein , German
Lithuania , Lithuanian
Luxembourg , Luxembourgish, French, German
Madagascar , Malagasy, French
Malawi , Chewa, English
Malaysia , Malay
Maldives , Dhivehi
Mali , French
Malta , Maltese, English
Marshall Islands , Marshallese, English
Mauritania , Arabic
Mauritius , English, French
Mexico , Spanish
Monaco , French
Mongolia , Mongolian
Montenegro , Montenegrin
Morocco , Arabic, Tamazight
Mozambique , Portuguese
Myanmar , Burmese
Namibia , English
Nauru , Nauruan, English
Nepal , Nepali
Netherlands , Dutch
New Caledonia , French
New Zealand , English, M?ori
Nicaragua , Spanish
Niger , French
Nigeria , English
Norway , Norwegian
Oman , Arabic
Pakistan , Urdu, English
Palau , English, Palauan
Panama , Spanish
Papua New Guinea , English, Tok Pisin, Hiri Motu
Paraguay , Spanish, Guarani
Peru , Spanish, Quechua, Aymara
Philippines , Filipino, English
Poland , Polish
Portugal , Portuguese
Qatar , Arabic
Republic of Korea , Korean
Republic of Moldova , Moldovan
Romania , Romanian
Russian Federation , Russian
Rwanda , Kinyarwanda, English, French
Saint Kitts and Nevis , English
Saint Lucia , English
Saint Vincent and the Grenadines , English
Samoa , Samoan, English
San Marino , Italian
Sao Tome and Principe , Portuguese
Saudi Arabia , Arabic
Senegal , French
Serbia , Serbian
Seychelles , Seychellois Creole, English, French
Sierra Leone , English
Singapore , English, Malay, Tamil, Chinese
Slovakia , Slovak
Slovenia , Slovene
Somalia , Somali, Arabic
South Africa , Afrikaans, English, isiNdebele, isiXhosa, isiZulu, Sepedi, Sesotho, Setswana, siSwati, Tshivenda, Xitsonga
Spain , Spanish
Sri Lanka , Sinhala, Tamil
State of Palestine , Arabic
Sudan , Arabic, English
Suriname , Dutch
Swaziland , Swazi, English
Sweden , Swedish
Switzerland , German, French, Italian, Romansh
Syrian Arab Republic , Arabic
Tajikistan , Tajik
Thailand , Thai
The former Yugoslav Republic of Macedonia , Macedonian
Togo , French
Tonga , Tongan, English
Trinidad and Tobago , English
Tunisia , Arabic
Turkey , Turkish
Turkmenistan , Turkmen
Tuvalu , Tuvaluan, English
Uganda , English, Swahili
Ukraine , Ukrainian
United Arab Emirates , Arabic
United Kingdom of Great Britain and Northern Ireland , English
United Republic of Tanzania , Swahili, English
United States of America , English
Uruguay , Spanish
Uzbekistan , Uzbek
Vanuatu , Bislama, English, French
Venezuela (Bolivarian Republic of) , Spanish
Viet Nam , Vietnamese
Western Sahara , Arabic
Yemen , Arabic
Zambia , English
Zimbabwe , English, Shona, Ndebele
